feature_count,feature_names,angle_scale,angle_scale_value,c_value,quantum_state_size,train_validation_rows,cross_validation_splits,cv_accuracy,cv_stable_precision,cv_stable_recall,cv_stable_f1
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_c; scaled_has_s,pi,3.141593,10.0,256,800,4,0.8138,0.8041,0.83,0.8162
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_fe; scaled_has_c; scaled_has_s,pi,3.141593,10.0,64,800,4,0.805,0.7749,0.86,0.8151
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_fe; scaled_has_p; scaled_has_c,pi,3.141593,10.0,64,800,4,0.8088,0.7875,0.845,0.815
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_fe; scaled_has_p; scaled_has_s,pi,3.141593,1.0,64,800,4,0.805,0.7755,0.8575,0.8142
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_c,pi_over_2,1.570796,1.0,256,800,4,0.8038,0.7731,0.86,0.8142
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_s,pi_over_2,1.570796,2.0,256,800,4,0.8038,0.7743,0.8575,0.8138
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_c,pi_over_2,1.570796,10.0,256,800,4,0.805,0.7796,0.85,0.8131
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_s,pi_over_2,1.570796,1.0,256,800,4,0.8038,0.7766,0.8525,0.8128
10,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_c; scaled_has_si; scaled_has_s,pi_over_2,1.570796,10.0,1024,800,4,0.8038,0.7768,0.8525,0.8126
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_fe; scaled_has_c; scaled_has_s,pi,3.141593,1.0,64,800,4,0.8025,0.7725,0.8575,0.8126
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_fe; scaled_has_p; scaled_has_c,pi,3.141593,5.0,64,800,4,0.805,0.7807,0.8475,0.8125
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_c; scaled_has_s,pi_over_2,1.570796,5.0,256,800,4,0.8038,0.778,0.85,0.8121
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_mn; scaled_has_c; scaled_has_s,pi,3.141593,1.0,256,800,4,0.8038,0.78,0.8475,0.812
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_c,pi_over_2,1.570796,2.0,256,800,4,0.8025,0.7751,0.8525,0.8119
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_fe; scaled_has_c; scaled_has_s,pi,3.141593,5.0,64,800,4,0.8012,0.7712,0.8575,0.8118
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_fe; scaled_has_p; scaled_has_s,pi,3.141593,10.0,64,800,4,0.8038,0.7791,0.8475,0.8117
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_c,pi_over_2,1.570796,5.0,256,800,4,0.8025,0.7763,0.85,0.8114
